LONG,LAT,PROB,SEIZURE,YEAR,ORIGIN
11.36975942,2.133354783,0.283136364,B,2018,Nigeria
10.22335652,2.706556232,0.286313546,B,2018,Nigeria
11.36975942,2.133354783,0.304673288,B,2018,Nigeria
14.23576667,3.279757681,0.454450976,B,2018,Nigeria
11.36975942,2.133354783,0.1677125,B,2018,Nigeria
14.23576667,3.279757681,0.61101553,B,2018,Nigeria
13.66256522,4.999362029,0.156132039,B,2018,Nigeria
9.076953623,5.572563478,0.452084885,B,2018,Nigeria
10.22335652,1.560153333,0.104021868,B,2018,Nigeria
14.23576667,3.279757681,0.227037795,B,2018,Nigeria
11.36975942,2.133354783,0.229222901,B,2018,Nigeria
9.650155072,5.572563478,0.217716688,B,2018,Nigeria
14.23576667,3.279757681,0.214340648,B,2018,Nigeria
13.66256522,2.706556232,0.218615593,B,2018,Nigeria
13.66256522,4.999362029,0.086065189,B,2018,Nigeria
10.79655797,2.133354783,0.160466138,B,2018,Nigeria
13.66256522,4.999362029,0.105805434,B,2018,Nigeria
9.650155072,5.572563478,0.169328268,B,2018,Nigeria
9.076953623,5.572563478,0.632332978,B,2018,Nigeria
13.66256522,4.42616058,0.044555989,B,2018,Nigeria
9.076953623,5.572563478,0.741273468,B,2018,Nigeria
9.076953623,5.572563478,0.603874703,B,2018,Nigeria
10.22335652,3.279757681,0.042259495,B,2018,Nigeria
9.076953623,5.572563478,0.266935102,B,2018,Nigeria
13.66256522,4.999362029,0.12825661,B,2018,Nigeria
10.22335652,2.133354783,0.506029885,B,2018,Nigeria
11.36975942,2.133354783,0.255630319,B,2018,Nigeria
14.23576667,3.279757681,0.460903587,B,2018,Nigeria
10.22335652,2.133354783,0.4058294,B,2018,Nigeria
10.22335652,2.133354783,0.516160141,B,2018,Nigeria
10.22335652,2.706556232,0.392215768,B,2018,Nigeria
14.23576667,3.279757681,0.34355967,B,2018,Nigeria
13.66256522,4.999362029,0.243289327,B,2018,Nigeria
13.66256522,3.279757681,0.082720372,B,2018,Nigeria
14.23576667,3.85295913,0.092102653,B,2018,Nigeria
10.22335652,2.133354783,0.481525517,B,2018,Nigeria
10.22335652,2.133354783,0.30188446,B,2018,Nigeria
9.076953623,5.572563478,0.386534728,B,2018,Nigeria
10.22335652,2.133354783,0.91126845,B,2018,Nigeria
14.23576667,3.279757681,0.702453882,B,2018,Nigeria
13.66256522,2.706556232,0.158425861,B,2018,Nigeria
13.66256522,3.279757681,0.131409343,B,2018,Nigeria
10.22335652,2.706556232,0.688453285,B,2018,Nigeria
10.22335652,2.133354783,0.225569144,B,2018,Nigeria
10.79655797,2.706556232,0.038030874,B,2018,Nigeria
10.22335652,2.133354783,0.29892655,B,2018,Nigeria
13.66256522,4.999362029,0.153583468,B,2018,Nigeria
10.22335652,3.85295913,0.035858607,B,2018,Nigeria
14.23576667,3.279757681,0.150982381,B,2018,Nigeria
10.22335652,2.133354783,0.263096143,B,2018,Nigeria
10.79655797,2.133354783,0.147310595,B,2018,Nigeria
13.66256522,4.999362029,0.12104309,B,2018,Nigeria
10.22335652,1.560153333,0.082854877,B,2018,Nigeria
12.51616232,2.706556232,0.082463228,B,2018,Nigeria
10.22335652,2.706556232,0.191489843,B,2018,Nigeria
10.22335652,2.706556232,0.297464629,B,2018,Nigeria
11.36975942,2.133354783,0.341501726,B,2018,Nigeria
10.79655797,2.133354783,0.122959956,B,2018,Nigeria
10.22335652,2.133354783,0.345147726,B,2018,Nigeria
10.22335652,3.85295913,0.035470982,B,2018,Nigeria
11.36975942,2.133354783,0.14009694,B,2018,Nigeria
9.650155072,1.560153333,0.041594614,B,2018,Nigeria
10.22335652,3.85295913,0.039000984,B,2018,Nigeria
9.650155072,4.999362029,0.063531568,B,2018,Nigeria
10.79655797,2.133354783,0.10623481,B,2018,Nigeria
10.22335652,2.133354783,0.069848607,B,2018,Nigeria
10.22335652,2.133354783,0.609068569,B,2018,Nigeria
10.22335652,2.706556232,0.168226131,B,2018,Nigeria
14.23576667,3.279757681,0.182530988,B,2018,Nigeria
14.23576667,3.279757681,0.08682555,B,2018,Nigeria
9.076953623,5.572563478,0.380091192,B,2018,Nigeria
10.22335652,2.133354783,0.484656812,B,2018,Nigeria
10.22335652,2.706556232,0.605904701,B,2018,Nigeria
11.36975942,2.133354783,0.277867515,B,2018,Nigeria
10.22335652,2.133354783,0.465374175,B,2018,Nigeria
14.80896812,1.560153333,0.515168821,B,2018,Nigeria
10.22335652,2.133354783,0.204256686,B,2018,Nigeria
10.79655797,0.413750435,0.007120315,B,2018,Nigeria
10.22335652,3.279757681,0.048823718,B,2018,Nigeria
10.22335652,2.133354783,0.696899686,B,2018,Nigeria
9.650155072,1.560153333,0.059442792,B,2018,Nigeria
10.22335652,2.706556232,0.290622441,B,2018,Nigeria
14.23576667,3.279757681,0.330408217,B,2018,Nigeria
11.36975942,2.133354783,0.212846158,B,2018,Nigeria
10.22335652,2.133354783,0.550316292,B,2018,Nigeria
11.94296087,2.133354783,0.525068178,B,2018,Nigeria
10.22335652,2.706556232,0.256921105,B,2018,Nigeria
10.22335652,2.133354783,0.565028604,B,2018,Nigeria
10.22335652,2.133354783,0.964893543,B,2018,Nigeria
9.650155072,1.560153333,0.038709773,B,2018,Nigeria
9.076953623,5.572563478,0.864029738,B,2018,Nigeria
10.22335652,2.133354783,0.854844715,B,2018,Nigeria
9.650155072,5.572563478,0.508244057,B,2018,Nigeria
10.22335652,2.133354783,0.912763328,B,2018,Nigeria
10.22335652,2.133354783,0.420298443,B,2018,Nigeria
11.94296087,2.133354783,0.653534627,B,2018,Nigeria
13.66256522,2.706556232,0.506750783,B,2018,Nigeria
10.22335652,2.706556232,0.333393318,B,2018,Nigeria
10.22335652,2.133354783,0.789461193,B,2018,Nigeria
10.22335652,2.133354783,0.501090836,B,2018,Nigeria
10.22335652,2.133354783,0.837740957,B,2018,Nigeria
10.22335652,2.133354783,0.91786349,B,2018,Nigeria
10.22335652,2.133354783,0.932525765,B,2018,Nigeria
10.22335652,2.133354783,0.078132833,B,2018,Nigeria
10.22335652,2.133354783,0.476198401,B,2018,Nigeria
11.36975942,2.133354783,0.146894145,B,2018,Nigeria
10.22335652,2.133354783,0.933549568,B,2018,Nigeria
10.22335652,2.133354783,0.863116323,B,2018,Nigeria
13.66256522,2.706556232,0.264782894,B,2018,Nigeria
10.22335652,2.133354783,0.632960318,B,2018,Nigeria
9.076953623,5.572563478,0.429575731,B,2018,Nigeria
9.076953623,5.572563478,0.988293121,B,2018,Nigeria
10.22335652,2.133354783,0.440423479,B,2018,Nigeria
11.94296087,2.133354783,0.438164839,B,2018,Nigeria
11.36975942,2.133354783,0.17571752,B,2018,Nigeria
13.66256522,4.999362029,0.207280927,B,2018,Nigeria
10.22335652,2.133354783,0.269278998,B,2018,Nigeria
11.94296087,2.133354783,0.898629903,B,2018,Nigeria
10.79655797,2.706556232,0.061253435,B,2018,Nigeria
13.66256522,4.999362029,0.431424408,B,2018,Nigeria
9.076953623,5.572563478,0.91963297,B,2018,Nigeria
9.650155072,1.560153333,0.036349337,B,2018,Nigeria
10.22335652,1.560153333,0.112467168,B,2018,Nigeria
10.22335652,3.279757681,0.044448639,B,2018,Nigeria
9.076953623,5.572563478,0.285024181,B,2018,Nigeria
9.076953623,5.572563478,0.965931998,B,2018,Nigeria
10.22335652,2.133354783,0.946227146,B,2018,Nigeria
10.22335652,2.133354783,0.626514557,B,2018,Nigeria
